data_types,record_key,id,content_anonymized,emotion,label
comment,comment:10903,10903,"Lêu lêu mấy đứa tự tag tên mình
#Ost",Neutral,1
comment,comment:10911,10911,"Trần Vy ib để có link ad HD nhé :v
#Ost",Neutral,1
comment,comment:10942,10942,"Luân Võ mong bạn sẽ được như những gì #AD nói , adidaphat",Neutral,1
comment,comment:11253,11253,"Đúng thì cho t 1 like :))
#ost",Positive,2
comment,comment:11274,11274,"Có một buổi tối,  thấy cha tao đang sửa bóng đèn dưới bếp. Thấy tối quá,  t nhanh ý bật đèn lên cho sáng....sau đó t ko dám kể nữa.
#ost",Neutral,1
comment,comment:11302,11302,"Mới năm 4 thôi mà đã lo xa bạn bè, xa thầy cô.  Còn hơn 2 năm nữa cơ mà 😂😂
#Ost",Positive,2
comment,comment:11532,11532,#TrungNam  j đây ba! bậy bậy r nha..!,Neutral,1
comment,comment:11534,11534,#Nam tus gì ra coi đã..! 😅😅,Neutral,1
comment,comment:11536,11536,#Nam😅😅e chịu!coi như e chưa thấy gì ...,Neutral,1
comment,comment:11655,11655,"Cái tối hôm đi uống trà sữa xong, 2 đứa đi 2 hướng tất nhiên là đã dứt khoát rồi e, chứ không thì bạn trai đó lại hỏi e buồn ngủ chưa, chứ a say trà sữa quá không dám về nhà.
#Ost",Negative,0
comment,comment:11681,11681,"Phải nhớ là đã học quá lâu rồi nên không có chuyện thiên vị ở đây nữa nhá nhá :V
#Ost",Negative,0
comment,comment:11731,11731,"Ba mẹ đã cố gắng cho tiền ăn học rồi nên e cứ tập trung học, đừng để sang năm 6 năm 7 như a.. Khổ ba mẹ :V
#Ost",Neutral,1
comment,comment:11872,11872,"đọc đi đọc lại vẫn thấy bạn trai Ngờ u ngu :v , ai bảo kêu bạn gái thích gì miễn e vui là được. Thì giờ đi theo thằng khác qua đấy là niềm vui. đáng lẽ phải vui cho bạn gái chứ, sao lại Bờ lốc =))
#Ost",Positive,2
comment,comment:12109,12109,"Bạn trang có đọc được thì cho bạn ý 1 cơ sờ hội, chứ thấy Tâm sự Eva với AD trông bạn buồn lắm 🙂
#Ost",Neutral,1
comment,comment:12158,12158,Lệnh truy nã #phương_trang đi nào các bạn trẻ.. 😊😊,Neutral,1
comment,comment:12317,12317,"Đọc đoạn đầu lại cứ tưởng trường mình lại thêm 1 đám cưới giữa thầy và trò :))
#Ost",Positive,2
comment,comment:12642,12642,"Lưu ý: xe tới miền bắc xa nhất là ở thanh hóa,  nếu ở ngoài bắc vượt quá thanh hóa bạn sẽ xuống ở thanh hóa và trường sẽ hỗ trợ tiền thêm để bắt xe khác về tới chỗ bạn.
#ost",Neutral,1
comment,comment:12671,12671,"Có nhé.  Xe xuống tới thanh hóa.  Nếu e về hải phòng nhà trường hỗ trợ tiền xe từ thanh hóa về hải phòng cho em
#ost",Neutral,1
comment,comment:12863,12863,"Câu: ""Cuộc Sống mà"" nằm trong phim gì thế các mày
#Ost",Neutral,1
comment,comment:12971,12971,"Nhắn lại: ""Mình không hợp nhau đâu"".
#Ost",Neutral,1
comment,comment:12988,12988,"Còn ít tuổi nên cứ lo công việc,  sự nghiệp đã yêu đương nhăng nhít khổ lắm. À tiện đây bên cty ad đang tìm người phát tờ rơi.  Làm ib nha em.
#ost",Neutral,1
comment,comment:13037,13037,"Ai thấy tao chụp đẹp like phát. Hôm sau tao vô chụp tiếp :)))
#ost",Positive,2
comment,comment:13158,13158,#hắn ở đâu huế quảng trị á chúc may mắn,Positive,2
comment,comment:13193,13193,"Nhắc lại,  méo phải tao vô phòng vệ sinh nữ chụp
#ost",Neutral,1
comment,comment:13250,13250,"Gia Tuệ có trai nào kết bạn với e chưa. 😂
#ost",Positive,2
comment,comment:13450,13450,"1. chưa biết đi xe máy học 1,2 buổi là đi đc
2. Mù đường thì dùng google map
3. Nếu có điều kiện thì học 1 khóa về kỹ năng mềm(trường mình có dạy) . Còn ko thì xem trên mạng họ dạy hết
4. Nc với người khác áp dụng quy tắc 5-5. Tức là họ nói ra tin nửa thôi
Còn với người lạ thì 3-7
5. Cạnh tranh nhau là điều đương nhiên. Nếu bạn là người tuyển dụng có chọn ứng viên giỏi nhất ko. Đó. Bạn phải chứng minh mình giỏi hơn họ. Bằng cấp là 1 phần. Quan trọng vẫn là kỹ năng giao tiếp + làm việc nhóm
Muốn hỏi gì thì ib ad, link ở dưới :)))
#ost",Positive,2
comment,comment:13461,13461,Ví dụ là làm quen vs #nhân đây. Chúng ta sẽ học dc kĩ năng chữi bậy mọi lúc mọi nơi 😂,Neutral,1
comment,comment:13560,13560,"Trừ WC là không có CAMERA
#Ost",Neutral,1
comment,comment:13883,13883,"Đọc câu đầu tiên, "" nụ hôn đầu đời ngập chìm trong mùi mắm tôm "" tự dưng mình lại hiểu sang.... À mà thôi 😂😂
#Ost",Positive,2
comment,comment:14002,14002,"Đứa nào icon haha đứa đó bị hấp diêm.
#Ost",Positive,2
comment,comment:14011,14011,"Ôi zời,  loại con gái này bạn tiếc làm gì, l** của dân chúng thì cứ để dân chúng xài,  sớm muộn gì bạn cũng gặp lại cô ta ở amata hoặc cây xăng 26 thôi.  Đọc mà bức xúc hà!!!
#Ost",Negative,0
comment,comment:14109,14109,tâm sự của #Lộc. Đoàn Hảo Sơn Cường Việt,Neutral,1
comment,comment:14184,14184,"Cướp người yêu nó r dẫn thằng đấy đến phòng mỗi ngày
#Ost",Positive,2
comment,comment:14230,14230,"Hàng xóm nhà e có hiến ko a hiến trước cho hsau vô bù cho a.
#ost",Neutral,1
comment,comment:14278,14278,ad ghi sai nguồn oy. nguồn là #minhnhu nha ad,Neutral,1
comment,comment:14308,14308,tiệu hồi #minhnhu :))),Positive,2
comment,comment:14390,14390,"Vụ tông xe vừa rồi khiến mấy bạn thắc mắc ngã tư đó là đâu.  Là trên hình đó.
#Ost",Negative,0
comment,comment:14453,14453,"Edmodo có tải về, nhưng nhiều lúc quên tại không có tiếng ""Ting ting"" thông báo như tin nhắn fb =)))
#Ost",Negative,0
comment,comment:14457,14457,"Thầy sẽ thấy nha bạn
#Ost",Neutral,1
comment,comment:14484,14484,"Xin đồng cảm Xét...về tình yêu thì hứa chỉ là 1 tập xác định để sau khi tính được nghiệm, xét lại có đúng ko vậy nên hãy yêu và yêu sau khi có nghiệm thì xem lại tập xác định ban đầu mở ngoặc Công thức giải hệ số đóng ngoặc.
#Ost",Positive,2
comment,comment:14617,14617,"Đồng ý với bạn gái
Cha mình bảo rằng ""đàn ông khi hẹn hò phải là người chịu thiệt, nhà người ta nuôi con gái lớn lên từng ấy năm, các ông nuôi con gái nhà ng ta dăm bữa là có người yêu, có vợ thế còn gì. Con gái là để yêu thương chiều chuộng""
#Ost",Positive,2
comment,comment:14744,14744,"Sao nghỉ học sớm thế e?
#ost",Neutral,1
comment,comment:14902,14902,Đoàn Minh Huỳnh Hảo Sơn Thanh Nguyễn Lộc Nguyễn Văn Việt ----> đây chủ tus #T tha hồ lựa nhé :)) free cả đấy,Positive,2
comment,comment:14904,14904,........ đấy bạn #T thấy đây hảo là ng rất năng động :)),Positive,2
comment,comment:14905,14905,#T có thấy bạn Cường cute đáng yêu ko,Positive,2
comment,comment:14908,14908,"Ê nói nghe này, t nghĩ #T là ad duyệt bài này chứ k phải nguời đăng :)))",Positive,2
comment,comment:14979,14979,"thôi giờ thì chỉ chờ người tốt thôi. Mong là không gặp phải thanh niên lấy nón bảo hiểm lụm đc
#Ost",Positive,2
comment,comment:15003,15003,"Cô gì mà đẹp dữ hà!!!
#ost",Positive,2
comment,comment:15029,15029,"1. nếu e muốn ăn uống xa trường thì ib c nhé.
2. nam trường mình theo c biết thì ế nhiều lắm % của e cũng cao đó. nhưng sau đó c nghĩ e sẽ rất hối hận đấy. 🙂 ...v...v..v...v
3. Huỳnh Lê Yến Nhi  e muốn học võ thì liên hệ bạn này nha.
4. 246 e sẽ mặc đồng phục khoa. 357 e k ở chuồng lên trg là đc e nhé. makeup tùy theo ý thích của r muốn theo tông gì nhé.
#e phải luôn giữ vững tâm lí vì mọi chn k thể đều có thể đến vơid e.
# mong cmt của c có chút ít gì đó giúp ích đc cho e. #côgaiphaimanhmenhe",Neutral,1
comment,comment:15373,15373,#kiệt Nguyễn Kiệt giup kìa mày,Neutral,1
comment,comment:15496,15496,"Không có ngưòi yêu sướng như điên
Không phải mua sắm đỡ tốn tiền
Ra đường không phải lo ăn diện
Ở nhà ngủ nướng sướng hơn tiên
#Ost",Positive,2
comment,comment:15557,15557,#ost cần ở lại xem xét ít điều nha,Neutral,1
comment,comment:15610,15610,"Đỗ Hưng là một người a trai tốt, cao 1m5, nặng gần nửa tạ, nhà Hưng ở mặt phố, bố thì làm to, mẹ thủ kho của một công ty nhỏ, nhà Hưng k thiếu xe có thể chở b đi năm châu bốn bể bất kể trời nắng hay mưa rào 😎 b thấy đc thì Inb #Hưng nhé 😊",Positive,2
comment,comment:1811,1811,Nay Ad #Ost quay lại rồi à,Neutral,1
comment,comment:506,506,"Để đúng với xu hướng thời đại thì mình tóm tắt lại bằng Chat GPT cho bạn nào lười đọc hết:
Dưới đây là bản tóm tắt đoạn #Cfs2334:
⸻
Tóm tắt:
Một sinh viên Trường Đại học Công nghệ Đồng Nai gửi tâm thư đến Ban Giám hiệu và giảng viên, phản ánh một số vấn đề đang tồn tại tại trường:
1. Thay đổi website quá gấp khiến sinh viên và giảng viên không kịp thích nghi, gây rối loạn trong học tập và quản lý thông tin.
2. Quy trình đăng ký học phần mới rườm rà, mất thời gian và kém hiệu quả so với cách cũ. Nhiều sinh viên gặp khó khăn trong việc đăng ký và điều chỉnh kế hoạch học tập.
3. Thông báo học phí quá trễ, trong khi thời hạn đóng học phí lại ngắn, gây áp lực tài chính lớn cho sinh viên, đặc biệt là những gia đình có thu nhập trung bình – thấp.
4. Phí các môn học và dịch vụ không rõ ràng, như môn “Hiểu biết về DNTU” (600.000đ) và phí thư viện (250.000đ/năm), bị cho là không hợp lý khi ít sinh viên sử dụng dịch vụ tương ứng.
Sinh viên đề xuất:
• Thay đổi hệ thống công nghệ cần có lộ trình rõ ràng hơn.
• Nên cho sinh viên tự đăng ký môn học hoặc có cơ chế đơn giản hơn.
• Linh hoạt trong thời hạn đóng học phí.
• Xem xét lại các khoản thu không minh bạch.
Kết luận: Người viết cảm thấy thất vọng với công tác quản lý của nhà trường dù trường đã có gần 20 năm thành lập, và mong nhà trường cải thiện để sinh viên có môi trường học tập tốt hơn.",Negative,0
comment,comment:6049,6049,"Một câu chuyện ấm lòng trong những ngày đầu năm, mong cô bé sớm tìm được anh để cảm ơn mới năm nhất thôi em không sao đâu còn mấy năm nữa lận.
#Pug",Positive,2
comment,comment:6620,6620,"Mình post giúp thằng bạn ai có cho nó mượn nhé. 🥲
#Pug",Neutral,1
comment,comment:7411,7411,"Khởi đầu cho những câu chuyện tiếp theo của ngành ô tô :))
#Pug",Positive,2
comment,comment:7645,7645,"Bạn có thể đậu ngay ngắn vào tim mình cũng được ạ 🥰
#Pug",Positive,2
comment,comment:8185,8185,"Nhớ gì nhớ lắm thế 🥺
#tmv",Neutral,1
comment,comment:8346,8346,"Văn thư 10 điểm về chỗ 😉
#tmv",Neutral,1
comment,comment:8396,8396,"Mình sẽ cố gắn hết sức cho đến khi có kết quả tốt nhất từ DNTU thân yêu của chúng taaa =]]
#tmv",Positive,2
comment,comment:8397,8397,"Trời này ngồi với bạn làm vài ly trà sữa + commbo máy lạnh thì thôi khỏi học phí học phẹc gì hết . Đáng tiếc là ko quán nào mở
#Ost",Neutral,1
comment,comment:8424,8424,Ủng hộ hết sờ mình luôn!!!!! Duyệt Duyệt #cfs2283,Neutral,1
comment,comment:8426,8426,"Nước đi này rất được chứ dài dòng rồi sai lỗi chính tả nữa chán lắm 🥴
#tmv",Negative,0
comment,comment:9837,9837,"Thôi em à, cố gắng học cho xong để không phụ lòng ba mẹ tin e, hàng xóm tin em và a cũng tin em. E còn tận 2 năm đó. Cố lên!
#Ost",Neutral,1
comment,comment:9855,9855,"Gửi em trai
T nói thật nhé , tự giải quyết đi . Nó cũng học trường này , chắc cũng có đọc cfs , em có nghĩ đến cảm giác khi chuyện ko hay về nó bị bêu rếu cho toàn trường biết chỉ vì cái mác ""xin ý kiến"" ngây thơ của em ko ? Đồng ý là ở đây ko ai biết nó cũng ko ai biết em là ai , nhưng nó đọc đc rồi vào đọc cmt của mọi người nói nó ko ra gì thì nó sẽ nghĩ sao ? Lớn rồi , dám làm dám chịu , tự biết suy nghĩ đi chứ . Nhấc đth lên alo thầy u ở nhà . Chứ hỏi ý kiến các phụ huynh online trên này cũng ko khiến em chắc chắn 100% là bố đứa bé đâu. Nhưng mà chúc mừng e mọc sừng 95% nhé.
#Ost",Neutral,1
post,post:1040,1040,"☀️ CUỐI TUẦN RỒI, LÀM LY TRÀ ĐÀO CAM SẢ CHƯA CẢ NHÀ ƠI? 🍑🍊Nếu đang tìm một món nước vừa thanh mát vừa giải nhiệt thì nhất định phải thử ngay TRÀ ĐÀO CAM SẢ – một trong những thức uống được khách yêu thích nhất tại Vista Trà Sữa & Cà Phê. ❤️🍑 Đào ngọt thơm hấp dẫn🍊 Cam tươi chua ngọt tự nhiên🌿 Sả thơm dịu, thanh mátTất cả hòa quyện tạo nên một ly nước vừa tươi mát, vừa sảng khoái, giúp xua tan cái nóng và nạp đầy năng lượng cho ngày mới. ✨Đặc biệt, Trà Đào Cam Sả là lựa chọn hoàn hảo cho những buổi gặp gỡ bạn bè, học tập hay làm việc. Một ly trà mát lạnh, một góc ngồi thật chill tại Vista Trà Sữa & Cà Phê là đủ để cuối tuần thêm trọn vẹn rồi đó nha! 🥰⏰ 06:00 – 22:00📍 Vista Trà Sữa & Cà Phê🏫 Đối diện cổng Đại học Công Nghệ Đồng Nai📍 Số 191 Nguyễn Khuyến, KP5, P. Trảng Dài, TP. Biên Hòa, Đồng Nai☎️ 0984 926 491 – 0707 093 177☕ Vista Trà Sữa & Cà Phê – Nơi gặp gỡ, học tập và thư giãn lý tưởng mỗi ngày!#VistaTraSuaCaPhe #TraDaoCamSa #VistaCoffee #BienHoa #DongNai #DaiHocCongNgheDongNai #CoffeeAndTea #WeekendMo Ẩn bớt",Positive,2
post,post:1073,1073,"Mới hôm trước khen chân gà sốt Thái ngon “hết nước chấm”, nay chị khách nhắn đặt thêm tôm sốt Thái cho tiệc gia đình. Động lực để em làm đồ ăn ngày càng chất lượng hơn ❤️#mìcayvỉahè #KDCphúgia2 #cổngsautrườngđạihọccôngnghệđồngnai Tôm sốt thái chỉ nhận khách đặt onl thôi ạ Ẩn bớt",Neutral,1
post,post:11,11,"#Cfs2334Kính gửi Quý Thầy Cô, Ban Giám Hiệu nhà trường và toàn thể sinh viên Trường Đại Học Công Nghệ Đồng Nai!!Em có đôi lời tâm sự với Quý Thầy Cô, Ban Giám Hiệu nhà trường. Sau đây là đôi lời tâm sự của em (và cũng có thể là của cơ số bạn đang theo học tại trường):Mở bài:Trong tình hình công nghệ đang dần phát triển, tiến bộ qua từng ngày, kéo theo đó là những thay đổi trong phướng thức hoạt động, những đổi mới trong sự hoạt động của các cơ sở cho bắt kịp xu hướng, bắt kịp thời đại. Cũng chính vì thế sẽ xảy ra một số khó khăn trong công cuộc đổi mới, và Trường Đại Học Công Nghệ Đồng Nai (Dong Nai Technology University) cũng vậy.Thân bài:Trường Đại Học Công Nghệ Đồng Nai được thành lập ngày 3 tháng 10 năm 2005 với tên là Trường Cao đẳng Kỹ thuật - Công nghệ Đồng Nai (Dongnai College of Technology), sau do TS. Phan Ngọc Sơn đứng tên thành lập theo quyết định số 929/QĐ-TTg ngày 16 tháng 6 năm 2011 của thủ tướng chính phủ, và đổi tên thành Trường Đại Học Công Nghệ Đồng Nai (Dong Nai Technology University) ~ tương đương đã thành lập 20 năm. Tuy rằng đã thành lập được một thời gian đủ lâu dài nhưng bản thân em thấy trường còn rất nhiều vấn đề thực sự chưa giải quyết được, chưa nói đến các vấn đề của các năm trước đó, chỉ nói đến các vấn đề xuất hiện trong học kì 2025 – 2026 này.Thứ nhất, việc thay đổi website – phần mềm hỗ trợ sinh viên là quá gấp rút, với thời gian đó để mà thay đổi gần như từ trên xuống dưới như vậy là không thực tiễn một chút nào, chính vì quá gấp rút – quá vội vàng dẫn đến giáo viên – sinh viên không thể nào có đủ thời gian để kịp thích nghi. Em vào trường được 3 năm và đã thay đổi website trường 2 lần, việc thay đổi website trường liên tục là không quá tốt, nó khiến giáo viên – sinh viên phải tốn thêm thời gian làm quen với website mới, có thể dẫn đến việc bỏ lỡ những công tác quan trọng.Thứ hai, việc đăng kí học phần chuyển qua dạng lập kế hoạch rồi gửi cho Giáo Viên Cố Vấn Học Tập là “QUÁ RƯỜM RÀ”, bản thân lớp em đã được Giáo Viên Cố Vấn Học Tập yêu cầu làm – chỉnh sửa file kế hoạch không dưới 3 lần, tưởng chừng thế đã là xong? “Nah, Không!”, ví dụ khi bạn chưa học hoặc rớt môn ABC nào đó ở kì trước nhưng chưa đăng kí học lại được mà qua kì này bạn có những môn cần hoàn thành môn ABC đó trước thì mới được phép học môn đó thì….Chúc mừng bạn, bạn phải chờ không dưới 1 tháng (kể từ khi nộp file kế hoạch học tập lần đầu) để được nhận thông báo thì rằng là bạn không được học môn đó do môn ABC đó bạn chưa hoàn thành, sau đó bạn sẽ phải điền link để xin môn khác, và sau đó thì sao thì ai mà biết được cơ chứ. Nếu đăng kí như kiểu cũ – tức sinh viên tự đăng kí, thì khi gặp trường hợp như trên hệ thống sẽ thông báo ngay, từ đó sinh viên có thể tranh thủ thười gian đăng kí những môn khác bù vào môn chưa đăng kí được.Thứ ba, việc thay đổi website đã nói ở “điều thứ nhất” cộng với việc thay đổi cách đăng kí môn “Siêu Mất Thời Gian” ở “điều thứ hai” dẫn đến việc sinh viên biết số tiền học phí mình cần đóng quá muộn, thêm việc nhà trường yêu cầu đóng tiền quá gấp rút - từ lúc biết số tiền cần đóng đến hạn chót đóng tiền là vừa tròn 2 tuần (biết học phí kì đó vào khoảng đầu tháng 8 và hạn chót thanh toán học phí là 16/08 ~ tương đương 12 – 16 ngày), nói thực thì với tình hình kinh tế chung hiện nay một số gia đình khó mà có thể chuẩn bị 12 triệu – 18 triệu nhanh như vậy được. Nếu Quý Thầy Cô, Ban Giám Hiệu và các bạn hỏi sao không làm đơn gia hạn hoặc chuẩn bị sẵn từ lúc làm file kế hoạch thì xin thưa rằng: Đối với gia hạn học phí, ngày trước mình có đọc thông báo thì có nói nếu muốn gia hạn học phí thì cần có sổ hộ nghèo ạ. Còn đối với chuẩn bị học phí từ lúc làm file kế hoạch thì cũng nói luôn là 12 triệu – 18 triệu nó không phải số tiền nhỏ, nó vừa khít với thu nhập của một hộ gia đình có thu nhập trung bình – thấp đó ạ.Thứ tư, tiện đang nhắc tới học phí thì mọi người cho em hỏi là môn “HIỂU BIẾT VỀ DNTU” có phí là 600.000VNĐ/môn là môn gì vậy?? Rồi cái phí thư viện 250.000VNĐ là gì nữa?? Đang yên đang lành thêm 2 khoản đó vào rồi bắt sinh viên đóng tiền vậy á hả?? Thư viện thì được bao nhiêu sinh viên vào?? Bao nhiêu phần trăm sinh viên của mỗi khóa vào thư viện?? Được bao nhiêu môn cần đến tài liệu của thư viện?? Hay chỉ là thêm vào rồi bắt giáo viên ép sinh viên vào thư viện điện tử để lấy chỉ tiêu?? Ép như vậy rồi được bao nhiêu người thực sự vào đó đọc?? Không đóng thì sau không được ra trường, mà đóng thì cũng có bao giờ vào đó đâu?? Có thể các bạn sẽ nói “ui sời có 250.000VNĐ/năm, 4 năm có 1tr thôi mà làm quá lên”, ủa chứ 1tr không phải tiền à?? Nếu các bạn không cần thì cho mình đi.Với điều “Thứ nhất” đã nêu ở trên, em nghĩ nhà trường thay đổi website là muốn bắt kịp xu hướng, đuổi kịp thời đại nhưng nhà trường nên thay website sớm hơn để giáo viên - sinh viên có thười gian làm quen với website mới. Cùng với điều “Thứ hai” đã nêu ở trên, theo bản thân em là một sinh viên đang theo học tại trường, em mong muốn nhà trường có thể cho phép sinh viên tự đăng kí theo ý mình hoặc nhà trường đăng kí luôn cho sinh viên, sinh viên đến kì chỉ cần vào check công nợ, thanh toán công nợ, rồi học thôi. Còn với điều “Thứ ba” đã nêu ở trên thì em thấy nhà trường nên linh hoạt hơn trong việc gia hạn thời gian đóng học phí cho sinh viên. Và cuối cùng là điều “Thứ tư” đã nêu ở phía trên, em chỉ muốn nói là “Em mong nhà trường hốc ít thôi, chừa cho sinh viên chúng em con đường sống nữa!! Biết là nhà trường đói khát, cần tiền đập vào các dự án nhưng em xin nhà trường đấy!! nhà em sắp hết tiền rồi!! Em đang suy xét đến việc bảo lưu hoặc chuyển trường!!”.Kết bài:Thời gian từ lúc tiền thân của trường được thành lập đến nay là đủ đủ để một người được sinh ra, ăn học 12 năm và học tập đến năm 2 năm 3 bậc đại học, nói ra thì có phần hơi xúc phạm nhưng em cảm thấy trường còn quá yếu kém trong việc quản lý, điều hành hệ thống của trường, cảm giác như trường mới được thành lập chưa tới 10 năm vậy. Quản lý, điều hành còn kém hơn trường Cao Đẳng (nghề) nào đó.Đó là đôi lời tâm sự, cảm nhận của cá nhân em, em tin rằng cũng sẽ có một số sinh viên có cùng quan điểm nào đó em nêu phía trên, và em cũng tin rằng nhà trường sẽ đưa ra những quyết định sáng suốt và thông minh hơn trong tương lai để từ đó trường sẽ ngày càng phát triển hơn nữa!!!Xin cảm ơn!! Thân!!____________#Pug Ẩn bớt",Positive,2
